"Opportunity Name","ID","Opportunity Amount","Currency","Expected Close Date","Sales Stage","Probability (%)","Next Step","Type","Account Name","Description","Amount","Lead Source","campaign_id","Assigned to","Assigned User","Date Created","Date Modified","Created By","Modified By","Deleted","Geocode Status","Longitude","Address","Latitude"
"Mauris Molestie Institute vuCLAAY  MOL Standard Software","006i0000001vuCLAAY",15,"","03/03/2013","Closed Lost","","","Software","Mauris Molestie Institute","",10800,"","","","","02/27/2013 00:00","","","","","",-86.167006,"",39.520959
"Mauris Molestie Institute vufHAAQ  MOL Standard Software","006i0000001vufHAAQ",2,"","08/11/2013","Closed Lost","","","Software","Mauris Molestie Institute","",1520,"","","","","08/10/2013 00:00","","","","","",-86.167006,"",39.520959
"Mauris Molestie Institute vv8ZAAQ  MOL Standard Software","006i0000001vv8ZAAQ",55,"","12/25/2013","Closed Won","","","Software","Mauris Molestie Institute","",32120,"","","","","12/23/2013 00:00","","","","","",-86.167006,"",39.520959
"Mauris Molestie Institute vvHgAAI  MOL Standard Software","006i0000001vvHgAAI",3,"","02/02/2014","Closed Lost","","","Software","Mauris Molestie Institute","",2256,"","","","","01/25/2014 00:00","","","","","",-86.167006,"",39.520959
"Mauris Molestie Institute vvK1AAI  MOL Standard Services","006i0000001vvK1AAI",12,"","02/08/2014","Closed Won","","","Services","Mauris Molestie Institute","",7812,"","","","","02/03/2014 00:00","","","","","",-86.167006,"",39.520959
"Mauris Molestie Institute vwspAAA  MOL Standard Software","006i0000001vwspAAA",2,"","12/28/2014","Closed Lost","","","Software","Mauris Molestie Institute","",1488,"","","","","12/27/2014 00:00","","","","","",-86.167006,"",39.520959
"Mauris Molestie Institute vwqnAAA  MOL Standard Services","006i0000001vwqnAAA",19,"","12/30/2014","Closed Lost","","","Services","Mauris Molestie Institute","",9842,"","","","","12/22/2014 00:00","","","","","",-86.167006,"",39.520959
"Morbi Accumsan Laoreet Foundation vtzjAAA  MOL Standard Software","006i0000001vtzjAAA",25,"","11/19/2012","Closed Lost","","","Software","Morbi Accumsan Laoreet Foundation","",20000,"","","","","11/21/2012 00:00","","","","","",-83.013525,"",40.022684
"Morbi Accumsan Laoreet Foundation vv2SAAQ  MOL Standard Software","006i0000001vv2SAAQ",3,"","11/27/2013","Closed Won","","","Software","Morbi Accumsan Laoreet Foundation","",1998,"","","","","11/26/2013 00:00","","","","","",-83.013525,"",40.022684
"Morbi Accumsan Laoreet Foundation vwsrAAA  MOL Standard Software","006i0000001vwsrAAA",21,"","01/03/2015","Closed Won","","","Services","Morbi Accumsan Laoreet Foundation","",9450,"","","","","12/27/2014 00:00","","","","","",-83.013525,"",40.022684
"Sed Pede Ltd vu5lAAA  MOL Standard Maintenance","006i0000001vu5lAAA",76,"","12/27/2012","Closed Won","","","Maintenance","Sed Pede Ltd","",7752,"","","","","12/29/2012 00:00","","","","","",-81.869082,"",41.136376
"Sed Pede Ltd vv41AAA  MOL Standard Maintenance","006i0000001vv41AAA",2,"","12/08/2013","Closed Won","","","Maintenance","Sed Pede Ltd","",199.2,"","","","","12/02/2013 00:00","","","","","",-81.869082,"",41.136376
"Sed Pede Ltd vwssAAA  MOL Standard Maintenance","006i0000001vwssAAA",149,"","12/28/2014","Closed Won","","","Maintenance","Sed Pede Ltd","",3754.8,"","","","","12/27/2014 00:00","","","","","",-81.869082,"",41.136376
"Sed Pede Ltd vwssAAAX  MOL Standard Maintenance","006i0000001vwssAAAX",200,"","04/15/2015","Closed Won","","","Maintenance","Sed Pede Ltd","",5040,"","","","","04/03/2015 00:00","","","","","",-81.869082,"",41.136376
"Consequat Lectus Sit Ltd vvALAAY  MOL Mobile Software","006i0000001vvALAAY",1,"","12/26/2013","Closed Lost","","","Software","Consequat Lectus Sit Ltd","",864,"","","","","12/28/2013 00:00","","","","","",-94.137486,"",36.129688
"Consequat Lectus Sit Ltd vwswAAA  MOL Standard Services","006i0000001vwswAAA",17,"","12/30/2014","Closed Won","","","Services","Consequat Lectus Sit Ltd","",10115,"","","","","12/27/2014 00:00","","","","","",-94.137486,"",36.129688
"Tempor Bibendum Corporation vv5iAAA  MOL Standard Software","006i0000001vv5iAAA",7,"","12/09/2013","Closed Won","","","Software","Tempor Bibendum Corporation","",4704,"","","","","12/11/2013 00:00","","","","","",-96.081461,"",41.19028
"Tempor Bibendum Corporation vw59AAA  MOL Standard Software","006i0000001vw59AAA",13,"","07/31/2014","Closed Won","","","Software","Tempor Bibendum Corporation","",10296,"","","","","07/27/2014 00:00","","","","","",-96.081461,"",41.19028
"Tempor Bibendum Corporation vwhJAAQ  MOL Standard Services","006i0000001vwhJAAQ",2,"","11/25/2014","Closed Won","","","Services","Tempor Bibendum Corporation","",1274,"","","","","11/25/2014 00:00","","","","","",-96.081461,"",41.19028
"Tempor Bibendum Corporation vwtnAAA  MOL Standard Software","006i0000001vwtnAAA",12,"","12/28/2014","Closed Won","","","Software","Tempor Bibendum Corporation","",6816,"","","","","12/28/2014 00:00","","","","","",-96.081461,"",41.19028
"Eget Institute vssYAAQ  MOL Premium Services","006i0000001vssYAAQ",9,"","12/10/2011","Closed Won","","","Services","Eget Institute","",7830,"","","","","12/12/2011 00:00","","","","","",-77.597552,"",43.153378
"Eget Institute vu25AAA  MOL Premium Software","006i0000001vu25AAA",2,"","12/15/2012","Closed Won","","","Software","Eget Institute","",1968,"","","","","12/13/2012 00:00","","","","","",-77.597552,"",43.153378
"Eget Institute vy6ZAAQ  MOL Standard Software","006i0000001vy6ZAAQ",89,"","01/03/2015","Closed Won","","","Software","Eget Institute","",64792,"","","","","12/28/2014 00:00","","","","","",-77.597552,"",43.153378
"Vel Nisl Quisque LLC vtOCAAY  MOL Standard Maintenance","006i0000001vtOCAAY",8,"","10/29/2011","Closed Won","","","Maintenance","Vel Nisl Quisque LLC","",758.4,"","","","","10/31/2011 00:00","","","","","",-73.929432,"",41.769171
"Vel Nisl Quisque LLC vtvuAAA  MOL Standard Software","006i0000001vtvuAAA",3,"","10/15/2012","Closed Lost","","","Software","Vel Nisl Quisque LLC","",2160,"","","","","10/13/2012 00:00","","","","","",-73.929432,"",41.769171
"Vel Nisl Quisque LLC vuS2AAI  MOL Standard Maintenance","006i0000001vuS2AAI",18,"","06/05/2013","Closed Lost","","","Maintenance","Vel Nisl Quisque LLC","",1749.6,"","","","","05/29/2013 00:00","","","","","",-73.929432,"",41.769171
"Vel Nisl Quisque LLC vui0AAA  MOL Standard Maintenance","006i0000001vui0AAA",17,"","08/31/2013","Closed Won","","","Maintenance","Vel Nisl Quisque LLC","",1713.6,"","","","","08/27/2013 00:00","","","","","",-73.929432,"",41.769171
"Vel Nisl Quisque LLC vvWSAAY  MOL Standard Maintenance","006i0000001vvWSAAY",114,"","04/05/2014","Closed Lost","","","Maintenance","Vel Nisl Quisque LLC","",10123.2,"","","","","03/29/2014 00:00","","","","","",-73.929432,"",41.769171
"Vel Nisl Quisque LLC vwnzAAA  MOL Standard Software","006i0000001vwnzAAA",58,"","12/19/2014","Closed Won","","","Software","Vel Nisl Quisque LLC","",36192,"","","","","12/15/2014 00:00","","","","","",-73.929432,"",41.769171
"Vel Nisl Quisque LLC vwuQAAQ  MOL Standard Software","006i0000001vwuQAAQ",277,"","12/30/2014","Closed Won","","","Software","Vel Nisl Quisque LLC","",159552,"","","","","12/28/2014 00:00","","","","","",-73.929432,"",41.769171
"Quam Elementum Corp. vufiAAA  MOL Standard Maintenance","006i0000001vufiAAA",17,"","08/10/2013","Closed Won","","","Maintenance","Quam Elementum Corp.","",1774.8,"","","","","08/12/2013 00:00","","","","","",-89.622825,"",44.958888
"Quam Elementum Corp. vvzMAAQ  MOL Standard Software","006i0000001vvzMAAQ",4,"","07/02/2014","Closed Won","","","Services","Quam Elementum Corp.","",3240,"","","","","07/01/2014 00:00","","","","","",-89.622825,"",44.958888
"Quam Elementum Corp. vw9QAAQ  MOL Standard Software","006i0000001vw9QAAQ",136,"","08/12/2014","Closed Lost","","","Software","Quam Elementum Corp.","",89216,"","","","","08/12/2014 00:00","","","","","",-89.622825,"",44.958888
"Quam Elementum Corp. vwv3AAA  MOL Standard Maintenance","006i0000001vwv3AAA",124,"","01/03/2015","Closed Lost","","","Maintenance","Quam Elementum Corp.","",12052.8,"","","","","12/28/2014 00:00","","","","","",-89.622825,"",44.958888
"Nunc PC vtxjAAA  MOL Premium Software","006i0000001vtxjAAA",10,"","10/29/2012","Closed Won","","","Software","Nunc PC","",10080,"","","","","10/31/2012 00:00","","","","","",-85.653833,"",38.253038
"Nunc PC vvCAAAY  MOL Standard Services","006i0000001vvCAAAY",1,"","12/30/2013","Closed Lost","","","Services","Nunc PC","",504,"","","","","12/29/2013 00:00","","","","","",-85.653833,"",38.253038
"Nunc PC vvCBAAY  MOL Standard Software","006i0000001vvCBAAY",7,"","12/31/2013","Closed Lost","","","Software","Nunc PC","",5600,"","","","","12/29/2013 00:00","","","","","",-85.653833,"",38.253038
"Nunc PC vwugAAA  MOL Premium Services","006i0000001vwugAAA",13,"","12/31/2014","Closed Lost","","","Services","Nunc PC","",12870,"","","","","12/28/2014 00:00","","","","","",-85.653833,"",38.253038
"Aliquam Vulputate Ullamcorper Company vvlQAAQ  MOL Standard Software","006i0000001vvlQAAQ",18,"","05/17/2014","Closed Lost","","","Software","Aliquam Vulputate Ullamcorper Company","",11808,"","","","","05/19/2014 00:00","","","","","",-106.585965,"",35.186651
"Aliquam Vulputate Ullamcorper Company vwvCAAQ  MOL Premium Services","006i0000001vwvCAAQ",13,"","12/29/2014","Closed Won","","","Services","Aliquam Vulputate Ullamcorper Company","",10270,"","","","","12/28/2014 00:00","","","","","",-106.585965,"",35.186651
"Purus Gravida Associates vv1xAAA  MOL Standard Maintenance","006i0000001vv1xAAA",16,"","11/22/2013","Closed Lost","","","Maintenance","Purus Gravida Associates","",1689.6,"","","","","11/24/2013 00:00","","","","","",-90.483987,"",38.774465
"Purus Gravida Associates vusHAAQ  MOL Standard Services","006i0000001vusHAAQ",40,"","11/22/2013","Closed Won","","","Services","Purus Gravida Associates","",20720,"","","","","09/29/2013 00:00","","","","","",-90.483987,"",38.774465
"Purus Gravida Associates vwfYAAQ  MOL Standard Software","006i0000001vwfYAAQ",16,"","11/19/2014","Closed Won","","","Software","Purus Gravida Associates","",11392,"","","","","11/18/2014 00:00","","","","","",-90.483987,"",38.774465
"Purus Gravida Associates vwuqAAA  MOL Standard Maintenance","006i0000001vwuqAAA",11,"","12/29/2014","Closed Won","","","Maintenance","Purus Gravida Associates","",1188,"","","","","12/28/2014 00:00","","","","","",-90.483987,"",38.774465
"Dolor Sit Amet Ltd vuc7AAA  MOL Standard Software","006i0000001vuc7AAA",4,"","07/14/2013","Closed Won","","","Software","Dolor Sit Amet Ltd","",2848,"","","","","07/16/2013 00:00","","","","","",-89.47393,"",43.050949
"Dolor Sit Amet Ltd vw3OAAQ  MOL Standard Software","006i0000001vw3OAAQ",20,"","07/18/2014","Closed Won","","","Software","Dolor Sit Amet Ltd","",12320,"","","","","07/16/2014 00:00","","","","","",-89.47393,"",43.050949
"Dolor Sit Amet Ltd vwuwAAA  MOL Standard Software","006i0000001vwuwAAA",6,"","12/29/2014","Closed Won","","","Software","Dolor Sit Amet Ltd","",4368,"","","","","12/28/2014 00:00","","","","","",-89.47393,"",43.050949
"Krustyco vwuxAAA  MOL Standard Software","006i0000001vwuxAAA",59,"","12/26/2014","Closed Won","","","Software","Krustyco","",43424,"","","","","12/28/2014 00:00","","","","","",-124.214648,"",43.366541
"St. Anky Beer vww4AAA  MOL Standard Services","006i0000001vww4AAA",38,"","12/26/2014","Closed Won","","","Services","St. Anky Beer","",21280,"","","","","12/28/2014 00:00","","","","","",-122.872202,"",42.325338
"A Neque LLC vwQmAAI  MOL Standard Software","006i0000001vwQmAAI",21,"","09/26/2014","Closed Won","","","Software","A Neque LLC","",15792,"","","","","09/28/2014 00:00","","","","","",-119.80205,"",36.75791
"A Neque LLC vwvsAAA  MOL Standard Software","006i0000001vwvsAAA",20,"","12/30/2014","Closed Won","","","Software","A Neque LLC","",12320,"","","","","12/28/2014 00:00","","","","","",-119.80205,"",36.75791
"Mi Pede Nonummy PC vtuhAAA  MOL Standard Services","006i0000001vtuhAAA",13,"","09/27/2012","Closed Won","","","Services","Mi Pede Nonummy PC","",7826,"","","","","09/29/2012 00:00","","","","","",-82.630114,"",28.45186
"Mi Pede Nonummy PC vuDnAAI  MOL Mobile Software","006i0000001vuDnAAI",8,"","03/18/2013","Closed Won","","","Software","Mi Pede Nonummy PC","",6696,"","","","","03/10/2013 00:00","","","","","",-82.630114,"",28.45186
"Mi Pede Nonummy PC vuJTAAY  MOL Standard Maintenance","006i0000001vuJTAAY",122,"","03/24/2014","Closed Won","","","Maintenance","Mi Pede Nonummy PC","",13908,"","","","","03/16/2014 00:00","","","","","",-82.630114,"",28.45186
"Mi Pede Nonummy PC vwxMAAQ  MOL Standard Services","006i0000001vwxMAAQ",94,"","12/31/2014","Closed Won","","","Services","Mi Pede Nonummy PC","",55930,"","","","","12/31/2014 00:00","","","","","",-82.630114,"",28.45186
"Taco Grande vwxPAAQ  MOL Standard Services","006i0000001vwxPAAQ",20,"","01/28/2015","Closed Lost","","","Services","Taco Grande","",10920,"","","","","01/02/2015 00:00","","","","","",-122.355017,"",47.691849
"Sapien Limited vu7LAAQ  MOL Standard Maintenance","006i0000001vu7LAAQ",11,"","01/13/2013","Closed Won","","","Maintenance","Sapien Limited","",1069.2,"","","","","01/15/2013 00:00","","","","","",-86.015492,"",40.045333
"Sapien Limited vuAzAAI  MOL Standard Software","006i0000001vuAzAAI",2,"","02/19/2013","Closed Lost","","","Software","Sapien Limited","",1216,"","","","","02/19/2013 00:00","","","","","",-86.015492,"",40.045333
"Sapien Limited vuOXAAY  MOL Standard Software","006i0000001vuOXAAY",7,"","05/14/2013","Closed Won","","","Software","Sapien Limited","",4760,"","","","","05/06/2013 00:00","","","","","",-86.015492,"",40.045333
"Sapien Limited vuTFAAY  MOL Standard Software","006i0000001vuTFAAY",3,"","06/07/2013","Closed Won","","","Software","Sapien Limited","",2016,"","","","","06/05/2013 00:00","","","","","",-86.015492,"",40.045333
"Sapien Limited vvFeAAI  MOL Standard Software","006i0000001vvFeAAI",14,"","01/12/2014","Closed Won","","","Software","Sapien Limited","",10752,"","","","","01/12/2014 00:00","","","","","",-86.015492,"",40.045333
"Sapien Limited vvGNAAY  MOL Standard Maintenance","006i0000001vvGNAAY",2,"","01/21/2014","Closed Lost","","","Maintenance","Sapien Limited","",192,"","","","","01/15/2014 00:00","","","","","",-86.015492,"",40.045333
"Sapien Limited vvTFAAY  MOL Standard Software","006i0000001vvTFAAY",2,"","03/21/2014","Closed Won","","","Software","Sapien Limited","",1280,"","","","","03/19/2014 00:00","","","","","",-86.015492,"",40.045333
"Sapien Limited vviXAAQ  MOL Standard Maintenance","006i0000001vviXAAQ",44,"","05/11/2014","Closed Won","","","Maintenance","Sapien Limited","",3801.6,"","","","","05/06/2014 00:00","","","","","",-86.015492,"",40.045333
"Sapien Limited vvpLAAQ  MOL Standard Software","006i0000001vvpLAAQ",8,"","06/12/2014","Closed Won","","","Software","Sapien Limited","",6080,"","","","","06/05/2014 00:00","","","","","",-86.015492,"",40.045333
"Sapien Limited vvzCAAQ  MOL Standard Software","006i0000001vvzCAAQ",139,"","07/03/2014","Closed Won","","","Software","Sapien Limited","",96744,"","","","","07/01/2014 00:00","","","","","",-86.015492,"",40.045333
"Sapien Limited vw32AAA  MOL Standard Software","006i0000001vw32AAA",105,"","07/23/2014","Closed Won","","","Software","Sapien Limited","",69720,"","","","","07/15/2014 00:00","","","","","",-86.015492,"",40.045333
"Sapien Limited vwHeAAI  MOL Standard Maintenance","006i0000001vwHeAAI",15,"","09/15/2014","Closed Lost","","","Maintenance","Sapien Limited","",1620,"","","","","09/09/2014 00:00","","","","","",-86.015492,"",40.045333
"Sapien Limited vwy9AAA  MOL Standard Software","006i0000001vwy9AAA",118,"","01/09/2015","Closed Won","","","Software","Sapien Limited","",77408,"","","","","01/04/2015 00:00","","","","","",-86.015492,"",40.045333
"North Central Positronics vwxyAAA  MOL Standard Software","006i0000001vwxyAAA",30,"","01/06/2015","Closed Won","","","Software","North Central Positronics","",23040,"","","","","01/04/2015 00:00","","","","","",-121.313842,"",44.060438
"Aerosoft vwyPAAQ  MOL Mobile Software","006i0000001vwyPAAQ",2,"","01/02/2015","Closed Won","","","Services","Aerosoft","",924,"","","","","01/04/2015 00:00","","","","","",-123.317672,"",42.439023
"Dibon Software Solution/Nanda Technology Group vwz9AAA  MOL Standard Software","006i0000001vwz9AAA",1,"","01/04/2015","Closed Won","","","Services","Dibon Software Solution/Nanda Technology Group","",588,"","","","","01/06/2015 00:00","","","","","",-121.77646,"",42.22799
"Pharetra Ut Pharetra Institute vvFiAAI  MOL Mobile Software","006i0000001vvFiAAI",16,"","01/10/2014","Closed Won","","","Software","Pharetra Ut Pharetra Institute","",11376,"","","","","01/12/2014 00:00","","","","","",-104.93991,"",39.566889
"Pharetra Ut Pharetra Institute vwzLAAQ  MOL Mobile Software","006i0000001vwzLAAQ",12,"","01/12/2015","Closed Won","","","Software","Pharetra Ut Pharetra Institute","",9288,"","","","","01/09/2015 00:00","","","","","",-104.93991,"",39.566889
"Sombra Corporation vumbAAA  MOL Standard Software","006i0000001vumbAAA",20,"","09/23/2013","Closed Won","","","Software","Sombra Corporation","",13280,"","","","","09/18/2013 00:00","","","","","",-111.052116,"",45.662776
"Sombra Corporation vuoTAAQ  MOL Standard Software","006i0000001vuoTAAQ",100,"","09/27/2013","Closed Lost","","","Software","Sombra Corporation","",65600,"","","","","09/25/2013 00:00","","","","","",-111.052116,"",45.662776
"Sombra Corporation vuqkAAA  MOL Standard Services","006i0000001vuqkAAA",60,"","10/01/2013","Closed Lost","","","Services","Sombra Corporation","",30240,"","","","","09/29/2013 00:00","","","","","",-111.052116,"",45.662776
"Sombra Corporation vwyvAAA  MOL Standard Maintenance","006i0000001vwyvAAA",201,"","01/09/2015","Closed Won","","","Maintenance","Sombra Corporation","",30150,"","","","","01/06/2015 00:00","","","","","",-111.052116,"",45.662776
"Lorem Ut Associates vtTPAAY  MOL Standard Software","006i0000001vtTPAAY",53,"","01/04/2012","Closed Won","","","Software","Lorem Ut Associates","",33496,"","","","","01/06/2012 00:00","","","","","",-77.245052,"",39.835312
"Lorem Ut Associates vtkaAAA  MOL Standard Software","006i0000001vtkaAAA",1,"","07/05/2012","Closed Lost","","","Software","Lorem Ut Associates","",792,"","","","","06/29/2012 00:00","","","","","",-77.245052,"",39.835312
"Lorem Ut Associates vtzyAAA  MOL Standard Services","006i0000001vtzyAAA",9,"","11/28/2012","Closed Won","","","Services","Lorem Ut Associates","",5607,"","","","","11/26/2012 00:00","","","","","",-77.245052,"",39.835312
"Lorem Ut Associates vuJaAAI  MOL Standard Software","006i0000001vuJaAAI",262,"","04/03/2013","Closed Lost","","","Software","Lorem Ut Associates","",167680,"","","","","03/31/2013 00:00","","","","","",-77.245052,"",39.835312
"Lorem Ut Associates vucUAAQ  MOL Standard Software","006i0000001vucUAAQ",3,"","07/23/2013","Closed Lost","","","Software","Lorem Ut Associates","",1944,"","","","","07/21/2013 00:00","","","","","",-77.245052,"",39.835312
"Lorem Ut Associates vv6ZAAQ  MOL Standard Software","006i0000001vv6ZAAQ",13,"","12/18/2013","Closed Won","","","Software","Lorem Ut Associates","",10088,"","","","","12/15/2013 00:00","","","","","",-77.245052,"",39.835312
"Lorem Ut Associates vw4EAAQ  MOL Standard Maintenance","006i0000001vw4EAAQ",13,"","07/28/2014","Closed Won","","","Maintenance","Lorem Ut Associates","",1513.2,"","","","","07/21/2014 00:00","","","","","",-77.245052,"",39.835312
"Lorem Ut Associates vwz0AAA  MOL Standard Maintenance","006i0000001vwz0AAA",1,"","01/10/2015","Closed Lost","","","Maintenance","Lorem Ut Associates","",98.4,"","","","","01/06/2015 00:00","","","","","",-77.245052,"",39.835312
"EGI Websoft vwzwAAA  MOL Standard Software","006i0000001vwzwAAA",8,"","01/09/2015","Closed Won","","","Software","EGI Websoft","",5952,"","","","","01/11/2015 00:00","","","","","",-121.260596,"",44.055211
"Ericsson Power vtQpAAI  MOL Standard Software","006i0000001vtQpAAI",5,"","01/10/2015","Closed Won","","","Services","Ericsson Power","",2100,"","","","","01/12/2015 00:00","","","","","",-121.280692,"",44.086384
"Finch Lab vx0YAAQ  MOL Mobile Software","006i0000001vx0YAAQ",57,"","01/11/2015","Closed Won","","","Software","Finch Lab","",38988,"","","","","01/13/2015 00:00","","","","","",-121.1751,"",44.28081
"Vitae Odio Industries vvIhAAI  MOL Mobile Software","006i0000001vvIhAAI",3,"","01/26/2014","Closed Lost","","","Software","Vitae Odio Industries","",2619,"","","","","01/28/2014 00:00","","","","","",-104.99297,"",39.755459
"Vitae Odio Industries vx0zAAA  MOL Standard Software","006i0000001vx0zAAA",9,"","01/17/2015","Closed Won","","","Software","Vitae Odio Industries","",9720,"","","","","01/16/2015 00:00","","","","","",-104.99297,"",39.755459
"Finite Infotech vx0nAAA  MOL Standard Software","006i0000001vx0nAAA",2,"","01/14/2015","Closed Won","","","Software","Finite Infotech","",1472,"","","","","01/16/2015 00:00","","","","","",-121.534888,"",44.285291
"Felis Ullamcorper Foundation vvGjAAI  MOL Premium Software","006i0000001vvGjAAI",59,"","01/16/2014","Closed Won","","","Software","Felis Ullamcorper Foundation","",65844,"","","","","01/18/2014 00:00","","","","","",-104.998427,"",39.753394
"Felis Ullamcorper Foundation vx0EAAQ  MOL Standard Services","006i0000001vx0EAAQ",10,"","01/18/2015","Closed Won","","","Services","Felis Ullamcorper Foundation","",6930,"","","","","01/12/2015 00:00","","","","","",-104.998427,"",39.753394
"Felis Ullamcorper Foundation vx1LAAQ  MOL Standard Software","006i0000001vx1LAAQ",27,"","01/25/2015","Closed Won","","","Software","Felis Ullamcorper Foundation","",19008,"","","","","01/17/2015 00:00","","","","","",-104.998427,"",39.753394
"Dolor Company vvFQAAY  MOL Standard Software","006i0000001vvFQAAY",13,"","01/09/2014","Closed Lost","","","Software","Dolor Company","",10192,"","","","","01/11/2014 00:00","","","","","",-104.869848,"",39.409108
"Dolor Company vwvbAAA  MOL Mobile Maintenance","006i0000001vwvbAAA",1,"","12/30/2014","Closed Lost","","","Maintenance","Dolor Company","",111.6,"","","","","12/28/2014 00:00","","","","","",-104.869848,"",39.409108
"Dolor Company vwvcAAA  MOL Standard Software","006i0000001vwvcAAA",10,"","01/04/2015","Closed Won","","","Software","Dolor Company","",6400,"","","","","12/28/2014 00:00","","","","","",-104.869848,"",39.409108
"Dolor Company vx0vAAA  MOL Premium Software","006i0000001vx0vAAA",9,"","01/19/2015","Closed Won","","","Software","Dolor Company","",9504,"","","","","01/16/2015 00:00","","","","","",-104.869848,"",39.409108
"Adipiscing Company vuCPAAY  MOL Premium Services","006i0000001vuCPAAY",22,"","02/25/2013","Closed Won","","","Services","Adipiscing Company","",15400,"","","","","02/27/2013 00:00","","","","","",-85.975323,"",41.690008
"Adipiscing Company vwgPAAQ  MOL Standard Software","006i0000001vwgPAAQ",9,"","11/29/2014","Closed Won","","","Software","Adipiscing Company","",6336,"","","","","11/22/2014 00:00","","","","","",-85.975323,"",41.690008
"Adipiscing Company vwrPAAQ  MOL Standard Software","006i0000001vwrPAAQ",34,"","12/23/2014","Closed Won","","","Software","Adipiscing Company","",26928,"","","","","12/23/2014 00:00","","","","","",-85.975323,"",41.690008
"Accumsan Convallis PC vv9CAAQ  MOL Premium Software","006i0000001vv9CAAQ",3,"","12/22/2013","Closed Lost","","","Software","Accumsan Convallis PC","",3528,"","","","","12/24/2013 00:00","","","","","",-90.063091,"",30.360469
"Accumsan Convallis PC vwrWAAQ  MOL Premium Services","006i0000001vwrWAAQ",4,"","12/27/2014","Closed Lost","","","Services","Accumsan Convallis PC","",3040,"","","","","12/23/2014 00:00","","","","","",-90.063091,"",30.360469
"Vivamus Rhoncus Donec Limited vv9DAAQ  MOL Standard Services","006i0000001vv9DAAQ",2,"","12/22/2013","Closed Lost","","","Services","Vivamus Rhoncus Donec Limited","",1078,"","","","","12/24/2013 00:00","","","","","",-100.630111,"",40.19771
"Vivamus Rhoncus Donec Limited vwrXAAQ  MOL Premium Software","006i0000001vwrXAAQ",9,"","12/30/2014","Closed Lost","","","Software","Vivamus Rhoncus Donec Limited","",7776,"","","","","12/23/2014 00:00","","","","","",-100.630111,"",40.19771
"Eleifend Company vtWqAAI  MOL Standard Software","006i0000001vtWqAAI",65,"","02/28/2012","Closed Won","","","Software","Eleifend Company","",51480,"","","","","02/28/2012 00:00","","","","","",-77.03692,"",41.222514
"Eleifend Company vuCZAAY  MOL Standard Software","006i0000001vuCZAAY",17,"","03/01/2013","Closed Won","","","Software","Eleifend Company","",10880,"","","","","03/01/2013 00:00","","","","","",-77.03692,"",41.222514
"Eleifend Company vw9EAAQ  MOL Standard Software","006i0000001vw9EAAQ",24,"","08/19/2014","Closed Won","","","Software","Eleifend Company","",17472,"","","","","08/12/2014 00:00","","","","","",-77.03692,"",41.222514
"Eleifend Company vwcuAAA  MOL Standard Maintenance","006i0000001vwcuAAA",48,"","11/12/2014","Closed Won","","","Maintenance","Eleifend Company","",5011.2,"","","","","11/10/2014 00:00","","","","","",-77.03692,"",41.222514
"Eleifend Company vwsXAAQ  MOL Standard Software","006i0000001vwsXAAQ",117,"","01/02/2015","Closed Lost","","","Software","Eleifend Company","",67392,"","","","","12/27/2014 00:00","","","","","",-77.03692,"",41.222514
"General Services Corporation vwtOAAQ  MOL Standard Maintenance","006i0000001vwtOAAQ",20,"","12/26/2014","Closed Won","","","Maintenance","General Services Corporation","",1848,"","","","","12/28/2014 00:00","","","","","",-122.873642,"",42.326815
"Vel Turpis LLP vuyIAAQ  MOL Standard Software","006i0000001vuyIAAQ",10,"","10/27/2013","Closed Won","","","Software","Vel Turpis LLP","",6720,"","","","","10/29/2013 00:00","","","","","",-89.23936,"",38.01066
"Vel Turpis LLP vweiAAA  MOL Standard Maintenance","006i0000001vweiAAA",4,"","11/17/2014","Closed Won","","","Maintenance","Vel Turpis LLP","",393.6,"","","","","11/16/2014 00:00","","","","","",-89.23936,"",38.01066
"Vel Turpis LLP vwvSAAQ  MOL Standard Maintenance","006i0000001vwvSAAQ",2,"","12/28/2014","Closed Lost","","","Maintenance","Vel Turpis LLP","",230.4,"","","","","12/28/2014 00:00","","","","","",-89.23936,"",38.01066
"Velit Ltd vvDoAAI  MOL Standard Services","006i0000001vvDoAAI",2,"","12/27/2013","Closed Lost","","","Services","Velit Ltd","",1316,"","","","","12/29/2013 00:00","","","","","",-98.276766,"",30.571103
"Velit Ltd vwvZAAQ  MOL Standard Maintenance","006i0000001vwvZAAQ",18,"","12/31/2014","Closed Won","","","Maintenance","Velit Ltd","",1749.6,"","","","","12/28/2014 00:00","","","","","",-98.276766,"",30.571103
"Egestas Aliquam LLP vtARAAY  MOL Standard Services","006i0000001vtARAAY",42,"","03/05/2011","Closed Lost","","","Services","Egestas Aliquam LLP","",26460,"","","","","03/07/2011 00:00","","","","","",-116.782943,"",47.691579
"Egestas Aliquam LLP vtOaAAI  MOL Standard Maintenance","006i0000001vtOaAAI",1,"","11/10/2011","Closed Won","","","Maintenance","Egestas Aliquam LLP","",110.4,"","","","","11/06/2011 00:00","","","","","",-116.782943,"",47.691579
"Egestas Aliquam LLP vtX9AAI  MOL Premium Software","006i0000001vtX9AAI",20,"","03/11/2012","Closed Won","","","Software","Egestas Aliquam LLP","",20880,"","","","","03/04/2012 00:00","","","","","",-116.782943,"",47.691579
