"...1","Opportunity Name","ID","Opportunity Amount","Currency","Expected Close Date","Sales Stage","Probability (%)","Next Step","Type","Account Name","Description","Amount","Lead Source","campaign_id","Assigned to","Assigned User","Date Created","Date Modified","Created By","Modified By","Deleted","Geocode Status","Longitude","Address","Latitude"
NA,"Morbi Accumsan Laoreet Foundation vtzjAAA  MOL Standard Software","006i0000001vtzjAAA",25,NA,NA,"Closed Lost",NA,NA,"Software",NA,NA,20000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-83.013525,NA,40.022684
NA,"Morbi Accumsan Laoreet Foundation vv2SAAQ  MOL Standard Software","006i0000001vv2SAAQ",3,NA,NA,"Closed Won",NA,NA,"Software",NA,NA,1998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-83.013525,NA,40.022684
NA,"Morbi Accumsan Laoreet Foundation vwsrAAA  MOL Standard Software","006i0000001vwsrAAA",21,NA,NA,"Closed Won",NA,NA,"Services",NA,NA,9450,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-83.013525,NA,40.022684
NA,"Sed Pede Ltd vu5lAAA  MOL Standard Maintenance","006i0000001vu5lAAA",76,NA,NA,"Closed Won",NA,NA,"Maintenance",NA,NA,7752,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-81.869082,NA,41.136376
NA,"Sed Pede Ltd vv41AAA  MOL Standard Maintenance","006i0000001vv41AAA",2,NA,NA,"Closed Won",NA,NA,"Maintenance",NA,NA,199.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-81.869082,NA,41.136376
NA,"Sed Pede Ltd vwssAAA  MOL Standard Maintenance","006i0000001vwssAAA",149,NA,NA,"Closed Won",NA,NA,"Maintenance",NA,NA,3754.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-81.869082,NA,41.136376
NA,"Sed Pede Ltd vwssAAAX  MOL Standard Maintenance","006i0000001vwssAAAX",200,NA,NA,"Closed Won",NA,NA,"Maintenance",NA,NA,5040,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-81.869082,NA,41.136376
NA,"Consequat Lectus Sit Ltd vvALAAY  MOL Mobile Software","006i0000001vvALAAY",1,NA,NA,"Closed Lost",NA,NA,"Software",NA,NA,864,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-94.137486,NA,36.129688
NA,"Consequat Lectus Sit Ltd vwswAAA  MOL Standard Services","006i0000001vwswAAA",17,NA,NA,"Closed Won",NA,NA,"Services",NA,NA,10115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-94.137486,NA,36.129688
NA,"Tempor Bibendum Corporation vv5iAAA  MOL Standard Software","006i0000001vv5iAAA",7,NA,NA,"Closed Won",NA,NA,"Software",NA,NA,4704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-96.081461,NA,41.19028
NA,"Tempor Bibendum Corporation vw59AAA  MOL Standard Software","006i0000001vw59AAA",13,NA,NA,"Closed Won",NA,NA,"Software",NA,NA,10296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-96.081461,NA,41.19028
NA,"Tempor Bibendum Corporation vwhJAAQ  MOL Standard Services","006i0000001vwhJAAQ",2,NA,NA,"Closed Won",NA,NA,"Services",NA,NA,1274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-96.081461,NA,41.19028
NA,"Tempor Bibendum Corporation vwtnAAA  MOL Standard Software","006i0000001vwtnAAA",12,NA,NA,"Closed Won",NA,NA,"Software",NA,NA,6816,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-96.081461,NA,41.19028
NA,"Eget Institute vssYAAQ  MOL Premium Services","006i0000001vssYAAQ",9,NA,NA,"Closed Won",NA,NA,"Services",NA,NA,7830,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-77.597552,NA,43.153378
NA,"Eget Institute vu25AAA  MOL Premium Software","006i0000001vu25AAA",2,NA,NA,"Closed Won",NA,NA,"Software",NA,NA,1968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-77.597552,NA,43.153378
NA,"Eget Institute vy6ZAAQ  MOL Standard Software","006i0000001vy6ZAAQ",89,NA,NA,"Closed Won",NA,NA,"Software",NA,NA,64792,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-77.597552,NA,43.153378
NA,"Vel Nisl Quisque LLC vtOCAAY  MOL Standard Maintenance","006i0000001vtOCAAY",8,NA,NA,"Closed Won",NA,NA,"Maintenance",NA,NA,758.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-73.929432,NA,41.769171
NA,"Vel Nisl Quisque LLC vtvuAAA  MOL Standard Software","006i0000001vtvuAAA",3,NA,NA,"Closed Lost",NA,NA,"Software",NA,NA,2160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-73.929432,NA,41.769171
NA,"Vel Nisl Quisque LLC vuS2AAI  MOL Standard Maintenance","006i0000001vuS2AAI",18,NA,NA,"Closed Lost",NA,NA,"Maintenance",NA,NA,1749.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-73.929432,NA,41.769171
NA,"Vel Nisl Quisque LLC vui0AAA  MOL Standard Maintenance","006i0000001vui0AAA",17,NA,NA,"Closed Won",NA,NA,"Maintenance",NA,NA,1713.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-73.929432,NA,41.769171
NA,"Vel Nisl Quisque LLC vvWSAAY  MOL Standard Maintenance","006i0000001vvWSAAY",114,NA,NA,"Closed Lost",NA,NA,"Maintenance",NA,NA,10123.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-73.929432,NA,41.769171
NA,"Vel Nisl Quisque LLC vwnzAAA  MOL Standard Software","006i0000001vwnzAAA",58,NA,NA,"Closed Won",NA,NA,"Software",NA,NA,36192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-73.929432,NA,41.769171
NA,"Vel Nisl Quisque LLC vwuQAAQ  MOL Standard Software","006i0000001vwuQAAQ",277,NA,NA,"Closed Won",NA,NA,"Software",NA,NA,159552,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-73.929432,NA,41.769171
NA,"Quam Elementum Corp. vufiAAA  MOL Standard Maintenance","006i0000001vufiAAA",17,NA,NA,"Closed Won",NA,NA,"Maintenance",NA,NA,1774.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-89.622825,NA,44.958888
NA,"Quam Elementum Corp. vvzMAAQ  MOL Standard Software","006i0000001vvzMAAQ",4,NA,NA,"Closed Won",NA,NA,"Services",NA,NA,3240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-89.622825,NA,44.958888
NA,"Quam Elementum Corp. vw9QAAQ  MOL Standard Software","006i0000001vw9QAAQ",136,NA,NA,"Closed Lost",NA,NA,"Software",NA,NA,89216,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-89.622825,NA,44.958888
NA,"Quam Elementum Corp. vwv3AAA  MOL Standard Maintenance","006i0000001vwv3AAA",124,NA,NA,"Closed Lost",NA,NA,"Maintenance",NA,NA,12052.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-89.622825,NA,44.958888
NA,"Nunc PC vtxjAAA  MOL Premium Software","006i0000001vtxjAAA",10,NA,NA,"Closed Won",NA,NA,"Software",NA,NA,10080,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-85.653833,NA,38.253038
NA,"Nunc PC vvCAAAY  MOL Standard Services","006i0000001vvCAAAY",1,NA,NA,"Closed Lost",NA,NA,"Services",NA,NA,504,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-85.653833,NA,38.253038
NA,"Nunc PC vvCBAAY  MOL Standard Software","006i0000001vvCBAAY",7,NA,NA,"Closed Lost",NA,NA,"Software",NA,NA,5600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-85.653833,NA,38.253038
NA,"Nunc PC vwugAAA  MOL Premium Services","006i0000001vwugAAA",13,NA,NA,"Closed Lost",NA,NA,"Services",NA,NA,12870,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-85.653833,NA,38.253038
NA,"Aliquam Vulputate Ullamcorper Company vvlQAAQ  MOL Standard Software","006i0000001vvlQAAQ",18,NA,NA,"Closed Lost",NA,NA,"Software",NA,NA,11808,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-106.585965,NA,35.186651
NA,"Aliquam Vulputate Ullamcorper Company vwvCAAQ  MOL Premium Services","006i0000001vwvCAAQ",13,NA,NA,"Closed Won",NA,NA,"Services",NA,NA,10270,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-106.585965,NA,35.186651
NA,"Purus Gravida Associates vv1xAAA  MOL Standard Maintenance","006i0000001vv1xAAA",16,NA,NA,"Closed Lost",NA,NA,"Maintenance",NA,NA,1689.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-90.483987,NA,38.774465
NA,"Purus Gravida Associates vusHAAQ  MOL Standard Services","006i0000001vusHAAQ",40,NA,NA,"Closed Won",NA,NA,"Services",NA,NA,20720,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-90.483987,NA,38.774465
NA,"Purus Gravida Associates vwfYAAQ  MOL Standard Software","006i0000001vwfYAAQ",16,NA,NA,"Closed Won",NA,NA,"Software",NA,NA,11392,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-90.483987,NA,38.774465
NA,"Purus Gravida Associates vwuqAAA  MOL Standard Maintenance","006i0000001vwuqAAA",11,NA,NA,"Closed Won",NA,NA,"Maintenance",NA,NA,1188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-90.483987,NA,38.774465
NA,"Dolor Sit Amet Ltd vuc7AAA  MOL Standard Software","006i0000001vuc7AAA",4,NA,NA,"Closed Won",NA,NA,"Software",NA,NA,2848,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-89.47393,NA,43.050949
NA,"Dolor Sit Amet Ltd vw3OAAQ  MOL Standard Software","006i0000001vw3OAAQ",20,NA,NA,"Closed Won",NA,NA,"Software",NA,NA,12320,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-89.47393,NA,43.050949
NA,"Dolor Sit Amet Ltd vwuwAAA  MOL Standard Software","006i0000001vwuwAAA",6,NA,NA,"Closed Won",NA,NA,"Software",NA,NA,4368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-89.47393,NA,43.050949
NA,"Krustyco vwuxAAA  MOL Standard Software","006i0000001vwuxAAA",59,NA,NA,"Closed Won",NA,NA,"Software",NA,NA,43424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-124.214648,NA,43.366541
NA,"St. Anky Beer vww4AAA  MOL Standard Services","006i0000001vww4AAA",38,NA,NA,"Closed Won",NA,NA,"Services",NA,NA,21280,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-122.872202,NA,42.325338
NA,"A Neque LLC vwQmAAI  MOL Standard Software","006i0000001vwQmAAI",21,NA,NA,"Closed Won",NA,NA,"Software",NA,NA,15792,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-119.80205,NA,36.75791
NA,"A Neque LLC vwvsAAA  MOL Standard Software","006i0000001vwvsAAA",20,NA,NA,"Closed Won",NA,NA,"Software",NA,NA,12320,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-119.80205,NA,36.75791
NA,"Mi Pede Nonummy PC vtuhAAA  MOL Standard Services","006i0000001vtuhAAA",13,NA,NA,"Closed Won",NA,NA,"Services",NA,NA,7826,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-82.630114,NA,28.45186
NA,"Mi Pede Nonummy PC vuDnAAI  MOL Mobile Software","006i0000001vuDnAAI",8,NA,NA,"Closed Won",NA,NA,"Software",NA,NA,6696,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-82.630114,NA,28.45186
NA,"Mi Pede Nonummy PC vuJTAAY  MOL Standard Maintenance","006i0000001vuJTAAY",122,NA,NA,"Closed Won",NA,NA,"Maintenance",NA,NA,13908,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-82.630114,NA,28.45186
NA,"Mi Pede Nonummy PC vwxMAAQ  MOL Standard Services","006i0000001vwxMAAQ",94,NA,NA,"Closed Won",NA,NA,"Services",NA,NA,55930,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-82.630114,NA,28.45186
NA,"Taco Grande vwxPAAQ  MOL Standard Services","006i0000001vwxPAAQ",20,NA,NA,"Closed Lost",NA,NA,"Services",NA,NA,10920,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-122.355017,NA,47.691849
NA,"Sapien Limited vu7LAAQ  MOL Standard Maintenance","006i0000001vu7LAAQ",11,NA,NA,"Closed Won",NA,NA,"Maintenance",NA,NA,1069.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-86.015492,NA,40.045333
NA,"Sapien Limited vuAzAAI  MOL Standard Software","006i0000001vuAzAAI",2,NA,NA,"Closed Lost",NA,NA,"Software",NA,NA,1216,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-86.015492,NA,40.045333
NA,"Sapien Limited vuOXAAY  MOL Standard Software","006i0000001vuOXAAY",7,NA,NA,"Closed Won",NA,NA,"Software",NA,NA,4760,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-86.015492,NA,40.045333
NA,"Sapien Limited vuTFAAY  MOL Standard Software","006i0000001vuTFAAY",3,NA,NA,"Closed Won",NA,NA,"Software",NA,NA,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-86.015492,NA,40.045333
NA,"Sapien Limited vvFeAAI  MOL Standard Software","006i0000001vvFeAAI",14,NA,NA,"Closed Won",NA,NA,"Software",NA,NA,10752,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-86.015492,NA,40.045333
NA,"Sapien Limited vvGNAAY  MOL Standard Maintenance","006i0000001vvGNAAY",2,NA,NA,"Closed Lost",NA,NA,"Maintenance",NA,NA,192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-86.015492,NA,40.045333
NA,"Sapien Limited vvTFAAY  MOL Standard Software","006i0000001vvTFAAY",2,NA,NA,"Closed Won",NA,NA,"Software",NA,NA,1280,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-86.015492,NA,40.045333
NA,"Sapien Limited vviXAAQ  MOL Standard Maintenance","006i0000001vviXAAQ",44,NA,NA,"Closed Won",NA,NA,"Maintenance",NA,NA,3801.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-86.015492,NA,40.045333
NA,"Sapien Limited vvpLAAQ  MOL Standard Software","006i0000001vvpLAAQ",8,NA,NA,"Closed Won",NA,NA,"Software",NA,NA,6080,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-86.015492,NA,40.045333
NA,"Sapien Limited vvzCAAQ  MOL Standard Software","006i0000001vvzCAAQ",139,NA,NA,"Closed Won",NA,NA,"Software",NA,NA,96744,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-86.015492,NA,40.045333
NA,"Sapien Limited vw32AAA  MOL Standard Software","006i0000001vw32AAA",105,NA,NA,"Closed Won",NA,NA,"Software",NA,NA,69720,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-86.015492,NA,40.045333
NA,"Sapien Limited vwHeAAI  MOL Standard Maintenance","006i0000001vwHeAAI",15,NA,NA,"Closed Lost",NA,NA,"Maintenance",NA,NA,1620,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-86.015492,NA,40.045333
NA,"Sapien Limited vwy9AAA  MOL Standard Software","006i0000001vwy9AAA",118,NA,NA,"Closed Won",NA,NA,"Software",NA,NA,77408,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-86.015492,NA,40.045333
NA,"North Central Positronics vwxyAAA  MOL Standard Software","006i0000001vwxyAAA",30,NA,NA,"Closed Won",NA,NA,"Software",NA,NA,23040,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-121.313842,NA,44.060438
NA,"Aerosoft vwyPAAQ  MOL Mobile Software","006i0000001vwyPAAQ",2,NA,NA,"Closed Won",NA,NA,"Services",NA,NA,924,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-123.317672,NA,42.439023
NA,"Dibon Software Solution/Nanda Technology Group vwz9AAA  MOL Standard Software","006i0000001vwz9AAA",1,NA,NA,"Closed Won",NA,NA,"Services",NA,NA,588,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-121.77646,NA,42.22799
NA,"Pharetra Ut Pharetra Institute vvFiAAI  MOL Mobile Software","006i0000001vvFiAAI",16,NA,NA,"Closed Won",NA,NA,"Software",NA,NA,11376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-104.93991,NA,39.566889
NA,"Pharetra Ut Pharetra Institute vwzLAAQ  MOL Mobile Software","006i0000001vwzLAAQ",12,NA,NA,"Closed Won",NA,NA,"Software",NA,NA,9288,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-104.93991,NA,39.566889
NA,"Sombra Corporation vumbAAA  MOL Standard Software","006i0000001vumbAAA",20,NA,NA,"Closed Won",NA,NA,"Software",NA,NA,13280,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-111.052116,NA,45.662776
NA,"Sombra Corporation vuoTAAQ  MOL Standard Software","006i0000001vuoTAAQ",100,NA,NA,"Closed Lost",NA,NA,"Software",NA,NA,65600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-111.052116,NA,45.662776
NA,"Sombra Corporation vuqkAAA  MOL Standard Services","006i0000001vuqkAAA",60,NA,NA,"Closed Lost",NA,NA,"Services",NA,NA,30240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-111.052116,NA,45.662776
NA,"Sombra Corporation vwyvAAA  MOL Standard Maintenance","006i0000001vwyvAAA",201,NA,NA,"Closed Won",NA,NA,"Maintenance",NA,NA,30150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-111.052116,NA,45.662776
NA,"Lorem Ut Associates vtTPAAY  MOL Standard Software","006i0000001vtTPAAY",53,NA,NA,"Closed Won",NA,NA,"Software",NA,NA,33496,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-77.245052,NA,39.835312
NA,"Lorem Ut Associates vtkaAAA  MOL Standard Software","006i0000001vtkaAAA",1,NA,NA,"Closed Lost",NA,NA,"Software",NA,NA,792,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-77.245052,NA,39.835312
NA,"Lorem Ut Associates vtzyAAA  MOL Standard Services","006i0000001vtzyAAA",9,NA,NA,"Closed Won",NA,NA,"Services",NA,NA,5607,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-77.245052,NA,39.835312
NA,"Lorem Ut Associates vuJaAAI  MOL Standard Software","006i0000001vuJaAAI",262,NA,NA,"Closed Lost",NA,NA,"Software",NA,NA,167680,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-77.245052,NA,39.835312
NA,"Lorem Ut Associates vucUAAQ  MOL Standard Software","006i0000001vucUAAQ",3,NA,NA,"Closed Lost",NA,NA,"Software",NA,NA,1944,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-77.245052,NA,39.835312
NA,"Lorem Ut Associates vv6ZAAQ  MOL Standard Software","006i0000001vv6ZAAQ",13,NA,NA,"Closed Won",NA,NA,"Software",NA,NA,10088,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-77.245052,NA,39.835312
NA,"Lorem Ut Associates vw4EAAQ  MOL Standard Maintenance","006i0000001vw4EAAQ",13,NA,NA,"Closed Won",NA,NA,"Maintenance",NA,NA,1513.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-77.245052,NA,39.835312
NA,"Lorem Ut Associates vwz0AAA  MOL Standard Maintenance","006i0000001vwz0AAA",1,NA,NA,"Closed Lost",NA,NA,"Maintenance",NA,NA,98.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-77.245052,NA,39.835312
NA,"EGI Websoft vwzwAAA  MOL Standard Software","006i0000001vwzwAAA",8,NA,NA,"Closed Won",NA,NA,"Software",NA,NA,5952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-121.260596,NA,44.055211
NA,"Ericsson Power vtQpAAI  MOL Standard Software","006i0000001vtQpAAI",5,NA,NA,"Closed Won",NA,NA,"Services",NA,NA,2100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-121.280692,NA,44.086384
NA,"Finch Lab vx0YAAQ  MOL Mobile Software","006i0000001vx0YAAQ",57,NA,NA,"Closed Won",NA,NA,"Software",NA,NA,38988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-121.1751,NA,44.28081
NA,"Vitae Odio Industries vvIhAAI  MOL Mobile Software","006i0000001vvIhAAI",3,NA,NA,"Closed Lost",NA,NA,"Software",NA,NA,2619,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-104.99297,NA,39.755459
NA,"Vitae Odio Industries vx0zAAA  MOL Standard Software","006i0000001vx0zAAA",9,NA,NA,"Closed Won",NA,NA,"Software",NA,NA,9720,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-104.99297,NA,39.755459
NA,"Finite Infotech vx0nAAA  MOL Standard Software","006i0000001vx0nAAA",2,NA,NA,"Closed Won",NA,NA,"Software",NA,NA,1472,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-121.534888,NA,44.285291
NA,"Felis Ullamcorper Foundation vvGjAAI  MOL Premium Software","006i0000001vvGjAAI",59,NA,NA,"Closed Won",NA,NA,"Software",NA,NA,65844,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-104.998427,NA,39.753394
NA,"Felis Ullamcorper Foundation vx0EAAQ  MOL Standard Services","006i0000001vx0EAAQ",10,NA,NA,"Closed Won",NA,NA,"Services",NA,NA,6930,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-104.998427,NA,39.753394
NA,"Felis Ullamcorper Foundation vx1LAAQ  MOL Standard Software","006i0000001vx1LAAQ",27,NA,NA,"Closed Won",NA,NA,"Software",NA,NA,19008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-104.998427,NA,39.753394
NA,"Dolor Company vvFQAAY  MOL Standard Software","006i0000001vvFQAAY",13,NA,NA,"Closed Lost",NA,NA,"Software",NA,NA,10192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-104.869848,NA,39.409108
NA,"Dolor Company vwvbAAA  MOL Mobile Maintenance","006i0000001vwvbAAA",1,NA,NA,"Closed Lost",NA,NA,"Maintenance",NA,NA,111.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-104.869848,NA,39.409108
NA,"Dolor Company vwvcAAA  MOL Standard Software","006i0000001vwvcAAA",10,NA,NA,"Closed Won",NA,NA,"Software",NA,NA,6400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-104.869848,NA,39.409108
NA,"Dolor Company vx0vAAA  MOL Premium Software","006i0000001vx0vAAA",9,NA,NA,"Closed Won",NA,NA,"Software",NA,NA,9504,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-104.869848,NA,39.409108
NA,"Adipiscing Company vuCPAAY  MOL Premium Services","006i0000001vuCPAAY",22,NA,NA,"Closed Won",NA,NA,"Services",NA,NA,15400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-85.975323,NA,41.690008
NA,"Adipiscing Company vwgPAAQ  MOL Standard Software","006i0000001vwgPAAQ",9,NA,NA,"Closed Won",NA,NA,"Software",NA,NA,6336,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-85.975323,NA,41.690008
NA,"Adipiscing Company vwrPAAQ  MOL Standard Software","006i0000001vwrPAAQ",34,NA,NA,"Closed Won",NA,NA,"Software",NA,NA,26928,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-85.975323,NA,41.690008
NA,"Accumsan Convallis PC vv9CAAQ  MOL Premium Software","006i0000001vv9CAAQ",3,NA,NA,"Closed Lost",NA,NA,"Software",NA,NA,3528,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-90.063091,NA,30.360469
NA,"Accumsan Convallis PC vwrWAAQ  MOL Premium Services","006i0000001vwrWAAQ",4,NA,NA,"Closed Lost",NA,NA,"Services",NA,NA,3040,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-90.063091,NA,30.360469
NA,"Vivamus Rhoncus Donec Limited vv9DAAQ  MOL Standard Services","006i0000001vv9DAAQ",2,NA,NA,"Closed Lost",NA,NA,"Services",NA,NA,1078,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-100.630111,NA,40.19771
NA,"Vivamus Rhoncus Donec Limited vwrXAAQ  MOL Premium Software","006i0000001vwrXAAQ",9,NA,NA,"Closed Lost",NA,NA,"Software",NA,NA,7776,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-100.630111,NA,40.19771
NA,"Eleifend Company vtWqAAI  MOL Standard Software","006i0000001vtWqAAI",65,NA,NA,"Closed Won",NA,NA,"Software",NA,NA,51480,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-77.03692,NA,41.222514
NA,"Eleifend Company vuCZAAY  MOL Standard Software","006i0000001vuCZAAY",17,NA,NA,"Closed Won",NA,NA,"Software",NA,NA,10880,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-77.03692,NA,41.222514
NA,"Eleifend Company vw9EAAQ  MOL Standard Software","006i0000001vw9EAAQ",24,NA,NA,"Closed Won",NA,NA,"Software",NA,NA,17472,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-77.03692,NA,41.222514
NA,"Eleifend Company vwcuAAA  MOL Standard Maintenance","006i0000001vwcuAAA",48,NA,NA,"Closed Won",NA,NA,"Maintenance",NA,NA,5011.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-77.03692,NA,41.222514
NA,"Eleifend Company vwsXAAQ  MOL Standard Software","006i0000001vwsXAAQ",117,NA,NA,"Closed Lost",NA,NA,"Software",NA,NA,67392,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-77.03692,NA,41.222514
NA,"General Services Corporation vwtOAAQ  MOL Standard Maintenance","006i0000001vwtOAAQ",20,NA,NA,"Closed Won",NA,NA,"Maintenance",NA,NA,1848,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-122.873642,NA,42.326815
NA,"Vel Turpis LLP vuyIAAQ  MOL Standard Software","006i0000001vuyIAAQ",10,NA,NA,"Closed Won",NA,NA,"Software",NA,NA,6720,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-89.23936,NA,38.01066
NA,"Vel Turpis LLP vweiAAA  MOL Standard Maintenance","006i0000001vweiAAA",4,NA,NA,"Closed Won",NA,NA,"Maintenance",NA,NA,393.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-89.23936,NA,38.01066
NA,"Vel Turpis LLP vwvSAAQ  MOL Standard Maintenance","006i0000001vwvSAAQ",2,NA,NA,"Closed Lost",NA,NA,"Maintenance",NA,NA,230.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-89.23936,NA,38.01066
NA,"Velit Ltd vvDoAAI  MOL Standard Services","006i0000001vvDoAAI",2,NA,NA,"Closed Lost",NA,NA,"Services",NA,NA,1316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-98.276766,NA,30.571103
NA,"Velit Ltd vwvZAAQ  MOL Standard Maintenance","006i0000001vwvZAAQ",18,NA,NA,"Closed Won",NA,NA,"Maintenance",NA,NA,1749.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-98.276766,NA,30.571103
NA,"Egestas Aliquam LLP vtARAAY  MOL Standard Services","006i0000001vtARAAY",42,NA,NA,"Closed Lost",NA,NA,"Services",NA,NA,26460,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-116.782943,NA,47.691579
